,Country,ozone_pollution_deaths_1990,ozone_pollution_deaths_2019,ozone_percent_change,ozone_abs_change,particulate_matter_deaths_1990,particulate_matter_deaths_2019,particulate_percent_change,particulate_abs_change,household_air_deaths_1990,household_air_deaths_2019,household_percent_change,household_abs_change,ozone_offender,particulate_offender,household_offender,area_change_perc,forest_offender,mortality_rate,water_offender,degraded_land_perc,desert_offender
0,Afghanistan,6.58,5.05,-0.23252279635258366,-1.5300000000000002,30.82,56.9,0.8462037637897468,26.08,370.05,179.46,-0.5150385083096879,-190.59,0,1,1,0.0,0,16.64,0,8,0
1,Algeria,3.05,2.59,-0.15081967213114755,-0.45999999999999996,103.24,76.53,-0.25871755133669116,-26.709999999999994,28.32,0.23,-0.9918785310734464,-28.09,0,0,0,0.16,0,4.05,0,1,0
2,Angola,4.71,2.07,-0.5605095541401275,-2.64,17.73,45.04,1.5403271291596163,27.31,260.34,68.39,-0.7373050626104325,-191.95,0,0,0,-0.8,0,48.85,0,20,0
3,Argentina,0.68,0.95,0.3970588235294117,0.2699999999999999,36.85,23.24,-0.36933514246947086,-13.610000000000003,12.87,1.31,-0.8982128982128982,-11.559999999999999,0,0,0,-0.56,0,11.45,0,39,1
4,Armenia,4.19,3.89,-0.0715990453460621,-0.30000000000000027,87.41,77.52,-0.11314494909049311,-9.89,38.49,1.98,-0.9485580670303975,-36.510000000000005,0,0,0,-0.06,0,5.83,0,2,0
5,Bangladesh,9.57,8.85,-0.0752351097178684,-0.7200000000000006,32.39,61.78,0.9073788206236493,29.39,249.29,79.25,-0.6820971559228208,-170.04,0,1,0,-0.03,0,18.23,0,65,1
6,Belarus,2.53,0.49,-0.8063241106719368,-2.04,84.53,52.36,-0.38057494380693246,-32.17,7.46,0.59,-0.9209115281501341,-6.87,0,0,0,0.16,0,1.62,0,1,0
7,Belgium,1.23,1.17,-0.04878048780487809,-0.06000000000000005,45.21,13.8,-0.694757796947578,-31.41,0.29,0.02,-0.9310344827586207,-0.26999999999999996,0,0,0,-0.01,0,5.31,0,11,0
8,Belize,0.86,0.87,0.011627906976744207,0.010000000000000009,26.58,35.34,0.32957110609480833,8.760000000000005,51.46,11.18,-0.7827438787407696,-40.28,0,0,0,-0.85,0,4.31,0,81,1
9,Benin,2.14,2.99,0.3971962616822431,0.8500000000000001,21.31,35.02,0.6433599249178792,13.710000000000004,247.42,143.48,-0.42009538436666394,-103.94,0,0,0,-1.47,0,60.18,1,53,1
10,Bhutan,12.01,14.53,0.2098251457119067,2.5199999999999996,17.85,53.63,2.004481792717087,35.78,225.9,70.04,-0.6899513058875608,-155.86,1,1,0,0.07,0,15.67,0,10,0
11,Bolivia,1.37,1.87,0.36496350364963503,0.5,67.69,47.56,-0.2973851381297089,-20.129999999999995,112.09,27.76,-0.7523418681416718,-84.33,0,0,0,-0.43,0,14.27,0,18,0
12,Bosnia and Herzegovina,3.26,1.53,-0.5306748466257668,-1.7299999999999998,57.13,63.12,0.10484859093295973,5.989999999999995,90.6,20.11,-0.7780353200883002,-70.49,0,1,0,0.4,0,1.93,0,4,0
13,Botswana,2.15,2.31,0.07441860465116279,0.16000000000000014,37.24,73.52,0.97422126745435,36.279999999999994,165.06,50.06,-0.6967163455713075,-115.0,0,1,0,-0.74,0,26.85,0,51,1
14,Brazil,1.19,1.65,0.38655462184873945,0.45999999999999996,34.16,19.28,-0.4355971896955503,-14.879999999999995,62.25,6.3,-0.8987951807228916,-55.95,0,0,0,-0.3,0,6.61,0,27,0
15,Burkina Faso,1.09,1.63,0.49541284403669694,0.5399999999999998,14.83,25.51,0.7201618341200271,10.680000000000001,240.65,175.1,-0.27238728443798055,-65.55000000000001,0,0,1,-0.77,0,60.91,1,19,0
16,Burundi,1.9,3.42,0.8,1.52,19.5,18.85,-0.033333333333333215,-0.6499999999999986,299.65,186.15,-0.37877523777740696,-113.49999999999997,0,0,1,3.73,0,53.25,0,29,0
17,Cambodia,0.6,1.84,2.066666666666667,1.2400000000000002,21.25,32.99,0.5524705882352943,11.740000000000002,285.98,133.12,-0.5345129030002098,-152.86,0,0,0,-2.68,1,17.13,0,33,0
18,Cameroon,2.65,2.55,-0.037735849056603765,-0.10000000000000009,42.81,74.63,0.7432842793739778,31.819999999999993,163.0,84.95,-0.47883435582822087,-78.05,0,1,0,-0.27,0,47.26,0,0,0
19,Cape Verde,0.82,0.83,0.012195121951219523,0.010000000000000009,22.85,76.07,2.3291028446389492,53.21999999999999,107.34,23.6,-0.7801378796348053,-83.74000000000001,0,1,0,0.68,0,12.11,0,17,0
20,Central African Republic,7.86,6.46,-0.17811704834605602,-1.4000000000000004,25.63,34.25,0.33632461958642224,8.620000000000001,326.19,251.24,-0.22977405806431828,-74.94999999999999,0,0,1,-0.13,0,97.01,1,13,0
21,Chad,2.47,2.71,0.09716599190283381,0.23999999999999977,15.98,28.47,0.7816020025031287,12.489999999999998,263.07,195.55,-0.25666172501615536,-67.51999999999998,0,0,1,-2.45,1,99.2,1,34,0
